city,latitude,longitude,date,weather_code,temperature_max,temperature_min,precipitation_sum,precipitation_probability,wind_speed_max,wind_gusts_max,temperature_category,precipitation_category,wind_category,risk_score,risk_level
Kouribga,32.88,-6.9,2026-09-16,2,31.0,17.4,0.0,0,18.9,36.4,Hot,No Rain,Moderate,10.9,Very Low
Settat,33.0023,-7.6198,2026-09-15,2,36.0,23.3,0.0,0,24.2,51.1,Extreme Heat,No Rain,Moderate,27.7,Low
Settat,33.0023,-7.6198,2026-09-16,2,29.6,19.3,0.0,0,19.0,39.2,Normal,No Rain,Moderate,6.4,Very Low
Barrechid,33.27,-7.5872,2026-09-15,2,35.7,21.4,0.0,0,22.4,40.0,Extreme Heat,No Rain,Moderate,20.5,Low
Barrechid,33.27,-7.5872,2026-09-16,45,29.0,19.1,0.0,0,19.7,35.3,Normal,No Rain,Moderate,11.4,Very Low
Ad Dakhla,23.7167,-15.95,2026-09-15,1,24.8,21.7,0.0,12,36.0,45.0,Normal,No Rain,Strong,11.26,Very Low
Ad Dakhla,23.7167,-15.95,2026-09-16,0,23.5,22.1,0.0,3,36.7,45.7,Normal,No Rain,Strong,9.315,Very Low
Nador,35.1667,-2.9333,2026-09-15,3,26.6,21.7,0.0,0,11.2,26.6,Normal,No Rain,Low,1.0,Very Low
Nador,35.1667,-2.9333,2026-09-16,2,29.9,21.8,0.0,0,10.5,26.3,Normal,No Rain,Low,1.0,Very Low
Taza,34.2144,-4.0088,2026-09-15,3,33.5,19.5,0.0,0,13.0,27.0,Hot,No Rain,Low,5.5,Very Low
Taza,34.2144,-4.0088,2026-09-16,2,30.8,21.0,0.0,0,24.1,49.7,Hot,No Rain,Moderate,14.5,Very Low
Inezgane,30.3658,-9.5381,2026-09-15,3,34.3,25.0,0.0,8,10.8,31.7,Hot,No Rain,Moderate,11.739999999999998,Very Low
Inezgane,30.3658,-9.5381,2026-09-16,1,32.7,21.3,0.0,0,12.3,33.1,Hot,No Rain,Moderate,10.9,Very Low
Larache,35.1833,-6.15,2026-09-15,0,30.4,19.4,0.0,0,24.9,45.7,Hot,No Rain,Moderate,13.5,Very Low
Larache,35.1833,-6.15,2026-09-16,45,27.4,18.5,0.0,0,16.9,32.4,Normal,No Rain,Moderate,11.4,Very Low
Al Khmissat,33.81,-6.06,2026-09-15,0,34.5,20.4,0.0,0,18.3,37.4,Hot,No Rain,Moderate,9.9,Very Low
Al Khmissat,33.81,-6.06,2026-09-16,1,30.7,18.0,0.0,0,19.2,38.9,Hot,No Rain,Moderate,10.9,Very Low
Guelmim,28.9833,-10.0667,2026-09-15,0,38.4,24.9,0.0,0,22.7,38.5,Extreme Heat,No Rain,Moderate,19.5,Very Low
Guelmim,28.9833,-10.0667,2026-09-16,0,36.2,20.5,0.0,0,33.1,54.0,Extreme Heat,No Rain,Strong,26.7,Low
Ksar El Kebir,35.0,-5.9,2026-09-15,45,37.0,20.9,0.0,0,26.0,53.6,Extreme Heat,No Rain,Moderate,32.7,Low
Ksar El Kebir,35.0,-5.9,2026-09-16,3,30.5,20.1,0.0,0,17.9,34.6,Hot,No Rain,Moderate,10.9,Very Low
Khénifra,32.93,-5.66,2026-09-15,3,35.1,20.1,0.0,3,19.4,37.1,Extreme Heat,No Rain,Moderate,17.215,Very Low
Khénifra,32.93,-5.66,2026-09-16,1,31.3,16.3,0.0,0,15.3,29.9,Hot,No Rain,Moderate,5.5,Very Low
Skhirate,33.85,-7.03,2026-09-15,45,26.5,21.2,0.0,0,12.3,27.7,Normal,No Rain,Low,6.0,Very Low
Skhirate,33.85,-7.03,2026-09-16,2,25.1,20.5,0.0,0,16.5,36.0,Normal,No Rain,Moderate,6.4,Very Low
Beni Yakhlef,33.6555,-7.3221,2026-09-15,45,30.6,20.2,0.0,0,17.2,31.7,Hot,No Rain,Moderate,15.9,Very Low
Beni Yakhlef,33.6555,-7.3221,2026-09-16,2,27.0,19.5,0.0,0,18.8,34.6,Normal,No Rain,Moderate,6.4,Very Low
Sidi Yahya Zaer,33.7105,-6.8831,2026-09-15,0,32.6,20.7,0.0,0,19.0,37.8,Hot,No Rain,Moderate,9.9,Very Low
Sidi Yahya Zaer,33.7105,-6.8831,2026-09-16,2,27.8,18.6,0.0,0,20.6,41.4,Normal,No Rain,Moderate,10.0,Very Low
Ben Guerir,32.23,-7.95,2026-09-15,3,37.2,24.5,0.0,3,22.7,44.6,Extreme Heat,No Rain,Moderate,20.815,Low
Ben Guerir,32.23,-7.95,2026-09-16,1,32.3,19.6,0.0,0,20.2,40.0,Hot,No Rain,Moderate,14.5,Very Low
Ait Ali,30.1739,-9.4881,2026-09-15,3,37.0,25.5,0.0,0,22.2,36.7,Extreme Heat,No Rain,Moderate,20.5,Low
Ait Ali,30.1739,-9.4881,2026-09-16,1,32.1,22.2,0.0,0,24.9,40.0,Hot,No Rain,Moderate,14.5,Very Low
My Drarga,30.3805,-9.4763,2026-09-15,3,36.7,25.9,0.0,8,13.9,30.2,Extreme Heat,No Rain,Moderate,17.74,Very Low
My Drarga,30.3805,-9.4763,2026-09-16,1,32.1,22.4,0.0,0,15.4,36.0,Hot,No Rain,Moderate,10.9,Very Low
Lqoliaa,30.2942,-9.4544,2026-09-15,3,38.0,25.7,0.0,3,19.9,42.1,Extreme Heat,No Rain,Moderate,17.215,Very Low
Lqoliaa,30.2942,-9.4544,2026-09-16,2,32.0,21.7,0.0,0,22.3,43.9,Hot,No Rain,Moderate,14.5,Very Low
El Kelaa des Srarhna,32.05,-7.4,2026-09-15,3,37.7,25.6,0.1,3,20.7,39.2,Extreme Heat,Light,Moderate,20.815,Low
El Kelaa des Srarhna,32.05,-7.4,2026-09-16,0,34.1,20.9,0.0,0,19.3,33.5,Hot,No Rain,Moderate,9.9,Very Low
Moulay Abdallah,33.1978,-8.5883,2026-09-15,45,28.7,21.7,0.0,0,20.6,32.4,Normal,No Rain,Moderate,15.0,Very Low
Moulay Abdallah,33.1978,-8.5883,2026-09-16,2,25.9,21.1,0.0,0,21.2,33.5,Normal,No Rain,Moderate,10.0,Very Low
Tiflet,33.9,-6.33,2026-09-15,0,33.6,22.2,0.0,0,18.4,37.4,Hot,No Rain,Moderate,9.9,Very Low
Tiflet,33.9,-6.33,2026-09-16,2,29.2,19.0,0.0,0,19.8,40.0,Normal,No Rain,Moderate,6.4,Very Low
Oulad Teïma,30.4,-9.21,2026-09-15,3,40.9,26.0,0.0,3,25.3,47.9,Extreme Heat,No Rain,Moderate,25.315,Low
Oulad Teïma,30.4,-9.21,2026-09-16,2,35.4,21.9,0.0,0,21.2,40.3,Extreme Heat,No Rain,Moderate,20.5,Low
Berkane,34.9167,-2.3167,2026-09-15,2,27.2,17.8,0.0,0,12.8,27.4,Normal,No Rain,Moderate,1.0,Very Low
Berkane,34.9167,-2.3167,2026-09-16,1,31.7,17.5,0.0,0,13.9,34.2,Hot,No Rain,Moderate,10.9,Very Low
Ain El Aouda,33.8111,-6.7922,2026-09-15,0,31.7,20.0,0.0,0,17.8,35.3,Hot,No Rain,Moderate,9.9,Very Low
Ain El Aouda,33.8111,-6.7922,2026-09-16,2,27.4,18.6,0.0,0,20.0,40.0,Normal,No Rain,Moderate,10.0,Very Low
Errachidia,31.9319,-4.4244,2026-09-15,3,34.8,24.3,0.1,23,29.2,56.9,Hot,Light,Strong,24.115,Low
Errachidia,31.9319,-4.4244,2026-09-16,3,32.8,21.4,0.0,3,20.9,41.0,Hot,No Rain,Moderate,14.815,Very Low
Al Fqih Ben Çalah,32.507,-6.6886,2026-09-15,2,39.2,22.6,0.0,3,19.1,36.7,Extreme Heat,No Rain,Moderate,17.215,Very Low
Al Fqih Ben Çalah,32.507,-6.6886,2026-09-16,0,35.2,19.2,0.0,0,17.7,34.6,Extreme Heat,No Rain,Moderate,15.9,Very Low
Ad Darwa,33.4167,-7.5333,2026-09-15,2,33.3,21.0,0.0,0,17.0,33.1,Hot,No Rain,Moderate,10.9,Very Low
Ad Darwa,33.4167,-7.5333,2026-09-16,45,27.7,19.4,0.0,0,17.2,33.8,Normal,No Rain,Moderate,11.4,Very Low
Martil,35.61,-5.27,2026-09-15,2,26.7,21.7,0.0,0,10.0,24.5,Normal,No Rain,Low,1.0,Very Low
Martil,35.61,-5.27,2026-09-16,1,32.7,21.2,0.0,0,29.0,65.5,Hot,No Rain,Strong,21.7,Low
Sidi Slimane,34.26,-5.93,2026-09-15,0,34.9,21.0,0.0,0,18.6,39.2,Hot,No Rain,Moderate,9.9,Very Low
Sidi Slimane,34.26,-5.93,2026-09-16,2,31.1,20.3,0.0,0,20.5,43.6,Hot,No Rain,Moderate,14.5,Very Low
Oued Zem,32.8619,-6.5711,2026-09-15,3,35.3,22.9,0.0,0,22.3,45.0,Extreme Heat,No Rain,Moderate,20.5,Low
Oued Zem,32.8619,-6.5711,2026-09-16,1,31.7,18.1,0.0,0,17.1,34.9,Hot,No Rain,Moderate,10.9,Very Low
Sefrou,33.83,-4.83,2026-09-15,2,32.4,23.6,0.0,0,17.6,38.5,Hot,No Rain,Moderate,10.9,Very Low
Sefrou,33.83,-4.83,2026-09-16,2,29.1,19.2,0.0,0,17.6,38.9,Normal,No Rain,Moderate,6.4,Very Low
Taroudannt,30.4711,-8.8778,2026-09-15,3,41.1,27.7,0.0,10,25.8,50.0,Extreme Heat,No Rain,Moderate,33.25,Low
Taroudannt,30.4711,-8.8778,2026-09-16,2,37.1,24.2,0.0,0,22.4,45.4,Extreme Heat,No Rain,Moderate,20.5,Low
Essaouira,31.513,-9.7687,2026-09-15,3,27.9,22.7,0.0,3,27.2,51.1,Normal,No Rain,Moderate,17.515,Very Low
Essaouira,31.513,-9.7687,2026-09-16,1,25.9,20.2,0.0,0,37.0,68.4,Normal,No Rain,Strong,17.2,Very Low
Azrou,33.4344,-5.2213,2026-09-15,2,29.7,17.6,0.0,0,19.8,42.5,Normal,No Rain,Moderate,6.4,Very Low
Azrou,33.4344,-5.2213,2026-09-16,1,26.1,14.2,0.0,0,16.2,40.7,Normal,No Rain,Moderate,9.4,Very Low
Guercif,34.23,-3.36,2026-09-15,3,33.5,18.9,0.0,0,23.7,43.6,Hot,No Rain,Moderate,14.5,Very Low
Guercif,34.23,-3.36,2026-09-16,1,34.5,19.3,0.0,3,25.7,45.7,Hot,No Rain,Moderate,14.815,Very Low
Warzat,30.9167,-6.9167000000000005,2026-09-15,3,32.2,21.9,0.0,8,21.4,40.0,Hot,No Rain,Moderate,15.34,Very Low
Warzat,30.9167,-6.9167000000000005,2026-09-16,1,33.3,18.0,0.0,3,23.1,40.3,Hot,No Rain,Moderate,14.815,Very Low
Fnidq,35.8414,-5.3587,2026-09-15,2,27.6,21.3,0.0,0,11.3,22.3,Normal,No Rain,Low,1.0,Very Low
Fnidq,35.8414,-5.3587,2026-09-16,1,30.0,21.3,0.0,0,31.8,60.5,Normal,No Rain,Strong,21.7,Low
Tan-Tan,28.4333,-11.1,2026-09-15,0,37.0,23.4,0.0,0,19.7,37.8,Extreme Heat,No Rain,Moderate,15.9,Very Low
Tan-Tan,28.4333,-11.1,2026-09-16,0,31.0,20.6,0.0,0,24.6,45.7,Hot,No Rain,Moderate,13.5,Very Low
Sidi Qacem,34.21,-5.7,2026-09-15,0,34.8,21.8,0.0,0,19.7,40.7,Hot,No Rain,Moderate,9.9,Very Low
Sidi Qacem,34.21,-5.7,2026-09-16,2,31.5,20.6,0.0,0,19.6,41.8,Hot,No Rain,Moderate,10.9,Very Low
M’diq,35.68,-5.32,2026-09-15,2,26.6,21.5,0.0,0,10.0,24.5,Normal,No Rain,Low,1.0,Very Low
M’diq,35.68,-5.32,2026-09-16,1,32.6,21.1,0.0,0,29.0,65.5,Hot,No Rain,Strong,21.7,Low
Youssoufia,32.25,-8.53,2026-09-15,3,37.4,24.6,0.0,3,24.1,49.7,Extreme Heat,No Rain,Moderate,20.815,Low
Youssoufia,32.25,-8.53,2026-09-16,1,31.4,19.7,0.0,0,20.6,41.8,Hot,No Rain,Moderate,14.5,Very Low
Midalt,32.68,-4.74,2026-09-15,3,30.0,18.2,0.0,8,23.4,41.8,Normal,No Rain,Moderate,15.34,Very Low
Midalt,32.68,-4.74,2026-09-16,2,27.0,17.0,0.0,0,21.4,38.5,Normal,No Rain,Moderate,10.0,Very Low
Aïn Harrouda,33.6372,-7.4483,2026-09-15,45,29.2,21.7,0.0,0,12.1,32.0,Normal,No Rain,Moderate,11.4,Very Low
Aïn Harrouda,33.6372,-7.4483,2026-09-16,45,26.4,20.6,0.0,0,15.2,37.4,Normal,No Rain,Moderate,11.4,Very Low
Souq Sebt Oulad Nemma,32.3,-6.7,2026-09-15,3,39.7,24.6,0.0,3,17.7,32.8,Extreme Heat,No Rain,Moderate,17.215,Very Low
Souq Sebt Oulad Nemma,32.3,-6.7,2026-09-16,1,35.4,20.4,0.0,0,15.3,26.6,Extreme Heat,No Rain,Moderate,11.5,Very Low
Mehdya,34.2557,-6.6745,2026-09-15,45,27.6,21.0,0.0,0,12.5,28.1,Normal,No Rain,Moderate,6.0,Very Low
Mehdya,34.2557,-6.6745,2026-09-16,3,26.5,21.0,0.0,0,16.3,36.4,Normal,No Rain,Moderate,6.4,Very Low
Ouezzane,34.8,-5.6,2026-09-15,1,35.3,19.8,0.0,0,21.7,44.6,Extreme Heat,No Rain,Moderate,20.5,Low
Ouezzane,34.8,-5.6,2026-09-16,3,30.4,17.3,0.0,0,17.6,34.6,Hot,No Rain,Moderate,10.9,Very Low
Semara,26.7394,-11.6703,2026-09-15,0,40.9,26.8,0.0,1,31.5,50.4,Extreme Heat,No Rain,Strong,31.305,Low
Semara,26.7394,-11.6703,2026-09-16,0,39.4,25.2,0.0,0,32.0,55.1,Extreme Heat,No Rain,Strong,26.7,Low
Ait Ourir,31.5644,-7.6628,2026-09-15,3,35.4,24.7,0.0,3,17.0,31.3,Extreme Heat,No Rain,Moderate,17.215,Very Low
Ait Ourir,31.5644,-7.6628,2026-09-16,1,32.7,19.9,0.0,0,14.9,28.1,Hot,No Rain,Moderate,5.5,Very Low
Oulad Tayeb,33.9598,-4.9954,2026-09-15,2,34.2,23.6,0.0,0,16.9,32.8,Hot,No Rain,Moderate,10.9,Very Low
Oulad Tayeb,33.9598,-4.9954,2026-09-16,1,30.9,21.0,0.0,0,16.7,31.7,Hot,No Rain,Moderate,10.9,Very Low
Tit Mellil,33.5533,-7.4822,2026-09-15,45,29.9,21.5,0.0,0,13.0,34.2,Normal,No Rain,Moderate,11.4,Very Low
Tit Mellil,33.5533,-7.4822,2026-09-16,45,26.3,20.2,0.0,0,14.9,38.2,Normal,No Rain,Moderate,11.4,Very Low
Sidi Bennour,32.655,-8.4292,2026-09-15,3,37.2,21.1,0.0,3,26.1,45.4,Extreme Heat,No Rain,Moderate,20.815,Low
Sidi Bennour,32.655,-8.4292,2026-09-16,2,30.2,18.5,0.0,0,22.7,39.2,Hot,No Rain,Moderate,14.5,Very Low
Temsia,30.3633,-9.4144,2026-09-15,3,38.9,26.1,0.0,3,19.1,40.7,Extreme Heat,No Rain,Moderate,17.215,Very Low
Temsia,30.3633,-9.4144,2026-09-16,2,31.9,22.3,0.0,0,17.1,37.4,Hot,No Rain,Moderate,10.9,Very Low
Biougra,30.2144,-9.3708,2026-09-15,2,38.6,26.6,0.0,3,22.9,40.3,Extreme Heat,No Rain,Moderate,20.815,Low
Biougra,30.2144,-9.3708,2026-09-16,1,33.7,23.1,0.0,0,29.4,49.0,Hot,No Rain,Moderate,14.5,Very Low
Al Hoceïma,35.2472,-3.9322,2026-09-15,45,26.4,20.2,0.0,0,11.3,20.2,Normal,No Rain,Low,6.0,Very Low
Al Hoceïma,35.2472,-3.9322,2026-09-16,3,28.7,19.9,0.0,0,13.0,25.2,Normal,No Rain,Low,1.0,Very Low
Qasbat Tadla,32.6,-6.26,2026-09-15,2,38.8,22.9,0.0,3,19.5,35.6,Extreme Heat,No Rain,Moderate,17.215,Very Low
Qasbat Tadla,32.6,-6.26,2026-09-16,0,34.3,18.7,0.0,0,14.6,27.7,Hot,No Rain,Moderate,4.5,Very Low
Aziylal,31.96,-6.5600000000000005,2026-09-15,3,30.4,19.7,0.1,5,22.9,49.3,Hot,Light,Moderate,15.025,Very Low
Aziylal,31.96,-6.5600000000000005,2026-09-16,0,26.6,16.0,0.0,0,18.8,39.2,Normal,No Rain,Moderate,5.4,Very Low
Boujad,32.7741,-6.3925,2026-09-15,3,36.8,23.7,0.0,3,21.2,38.5,Extreme Heat,No Rain,Moderate,20.815,Low
Boujad,32.7741,-6.3925,2026-09-16,1,32.6,18.5,0.0,0,16.7,31.3,Hot,No Rain,Moderate,10.9,Very Low
Al Aaroui,35.0104,-3.0073,2026-09-15,45,29.1,18.2,0.0,0,16.9,29.2,Normal,No Rain,Moderate,6.0,Very Low
Al Aaroui,35.0104,-3.0073,2026-09-16,3,32.9,18.0,0.0,0,15.9,27.4,Hot,No Rain,Moderate,5.5,Very Low
Mrirt,33.1654,-5.5634,2026-09-15,3,33.6,19.7,0.0,0,20.3,40.7,Hot,No Rain,Moderate,14.5,Very Low
Mrirt,33.1654,-5.5634,2026-09-16,3,30.0,14.7,0.0,0,18.5,37.1,Normal,No Rain,Moderate,10.9,Very Low
Tineghir,31.5147,-5.5328,2026-09-15,61,32.1,20.8,0.7000000000000001,38,42.1,66.6,Hot,Light,Strong,39.49,Low
Tineghir,31.5147,-5.5328,2026-09-16,2,31.4,18.3,0.0,5,32.6,51.5,Hot,No Rain,Strong,22.225,Low
Bouknadel,34.1766,-6.6893,2026-09-15,45,26.3,21.0,0.0,0,15.1,26.3,Normal,No Rain,Moderate,6.0,Very Low
Bouknadel,34.1766,-6.6893,2026-09-16,2,25.4,20.8,0.0,0,18.5,32.0,Normal,No Rain,Moderate,6.4,Very Low
Cabo Bojador,26.1269,-14.4992,2026-09-15,2,33.3,24.4,0.0,0,25.4,43.9,Hot,No Rain,Moderate,14.5,Very Low
Cabo Bojador,26.1269,-14.4992,2026-09-16,0,28.9,21.9,0.0,0,26.8,48.6,Normal,No Rain,Moderate,9.0,Very Low
Zagora,30.3316,-5.8376,2026-09-15,3,36.9,26.2,0.0,5,23.1,38.5,Extreme Heat,No Rain,Moderate,21.025,Low
Zagora,30.3316,-5.8376,2026-09-16,2,37.2,23.3,0.0,3,11.0,20.2,Extreme Heat,No Rain,Low,11.815,Very Low
Azemmour,33.2833,-8.3333,2026-09-15,45,28.8,21.1,0.0,0,17.9,32.8,Normal,No Rain,Moderate,11.4,Very Low
Azemmour,33.2833,-8.3333,2026-09-16,45,26.3,20.1,0.0,0,18.8,34.2,Normal,No Rain,Moderate,11.4,Very Low
El Hajeb,33.6928,-5.3711,2026-09-15,1,32.1,21.6,0.0,0,20.9,43.2,Hot,No Rain,Moderate,14.5,Very Low
El Hajeb,33.6928,-5.3711,2026-09-16,2,28.5,17.9,0.0,0,19.2,40.3,Normal,No Rain,Moderate,6.4,Very Low
Jerada,34.31,-2.16,2026-09-15,3,30.7,19.2,0.0,0,18.6,34.9,Hot,No Rain,Moderate,10.9,Very Low
Jerada,34.31,-2.16,2026-09-16,0,29.1,18.0,0.0,0,23.5,44.3,Normal,No Rain,Moderate,9.0,Very Low
El Aïoun,34.5726,-2.5127,2026-09-15,3,32.0,16.8,0.0,0,14.0,24.1,Hot,No Rain,Low,5.5,Very Low
El Aïoun,34.5726,-2.5127,2026-09-16,0,32.1,15.7,0.0,0,22.5,38.5,Hot,No Rain,Moderate,13.5,Very Low
Tameslouht,31.5,-8.1,2026-09-15,3,36.6,25.5,0.0,8,18.0,32.8,Extreme Heat,No Rain,Moderate,17.74,Very Low
Tameslouht,31.5,-8.1,2026-09-16,1,34.0,21.4,0.0,0,18.8,31.3,Hot,No Rain,Moderate,10.9,Very Low
Sidi Yahia El Gharb,34.3058,-6.3058,2026-09-15,45,31.8,20.8,0.0,0,18.6,33.8,Hot,No Rain,Moderate,15.9,Very Low
Sidi Yahia El Gharb,34.3058,-6.3058,2026-09-16,3,28.5,20.4,0.0,0,21.6,38.9,Normal,No Rain,Moderate,10.0,Very Low
Chichaoua,31.5333,-8.7667,2026-09-15,3,38.1,25.2,0.0,5,23.7,38.9,Extreme Heat,No Rain,Moderate,21.025,Low
Chichaoua,31.5333,-8.7667,2026-09-16,0,34.7,22.0,0.0,0,23.1,37.4,Hot,No Rain,Moderate,13.5,Very Low
Al ’Attawia,31.83,-7.31,2026-09-15,3,36.4,24.7,0.0,5,22.1,40.7,Extreme Heat,No Rain,Moderate,21.025,Low
Al ’Attawia,31.83,-7.31,2026-09-16,0,32.8,19.1,0.0,0,17.0,31.3,Hot,No Rain,Moderate,9.9,Very Low
Tabount,30.9014,-6.9217,2026-09-15,3,32.5,22.5,0.0,8,21.8,38.2,Hot,No Rain,Moderate,15.34,Very Low
Tabount,30.9014,-6.9217,2026-09-16,1,33.5,19.3,0.0,3,23.7,37.8,Hot,No Rain,Moderate,14.815,Very Low
Zaïo,34.9396,-2.7334,2026-09-15,3,30.0,18.6,0.0,0,10.3,23.4,Normal,No Rain,Low,5.5,Very Low
Zaïo,34.9396,-2.7334,2026-09-16,2,33.2,19.8,0.0,0,14.7,28.4,Hot,No Rain,Moderate,5.5,Very Low
Aguelmous,33.1324,-5.8366,2026-09-15,3,32.6,19.4,0.0,0,21.9,43.2,Hot,No Rain,Moderate,14.5,Very Low
Aguelmous,33.1324,-5.8366,2026-09-16,1,29.1,16.4,0.0,0,17.3,34.6,Normal,No Rain,Moderate,6.4,Very Low
